street_address,zip,city,state,home_type,bedrooms,bathrooms,finished_sq_footage,lot_size_sq_footage,year_built,year_updated,number_of_floors,neighborhood,school_district,sold_binary,last_sold_date,last_sale_price,roof_type,price_range
"2634 Duncan Ave",28205,Charlotte,NC,SingleFamily,3,2,1500,11499,1946,2008,1,None,None,1,04/29/2016,322000,Asphalt,64
"2808 Virginia Ave",28205,Charlotte,NC,SingleFamily,3,2,2000,9234,1949,2008,1,None,None,0,09/26/2014,332000,Asphalt,66
"2819 N Alexander St",28205,Charlotte,NC,SingleFamily,3,2,1648,11761,1900,2006,1,None,None,0,04/24/2015,330000,"Shake / Shingle",66
"2822 Shamrock Dr",28205,Charlotte,NC,SingleFamily,3,1,967,8712,1960,1965,1,None,None,0,06/19/2015,138500,Other,27
"2830 Hilliard Dr",28205,Charlotte,NC,SingleFamily,3,2,1098,10018,1951,2014,1,None,None,0,04/24/2015,220000,"Shake / Shingle",44
"2909 Clemson Ave",28205,Charlotte,NC,SingleFamily,4,3,1908,8712,1947,1970,1,"Villa Heights",None,1,01/05/2017,399500,Asphalt,79
"2947 Enfield Rd",28205,Charlotte,NC,SingleFamily,2,1,1000,9583,1954,1970,1,None,None,0,03/18/2015,85000,Asphalt,17
"3004 Holt St",28205,Charlotte,NC,SingleFamily,3,2,1855,6534,1946,2016,1,None,None,1,04/29/2016,410000,Asphalt,82
"3021 Attaberry Dr",28205,Charlotte,NC,Apartment,3,2,1236,7405,1955,1965,1,None,None,1,03/18/2016,285000,"Asphalt, Shake / Shingle",57
"3021 N Mcdowell St",28205,Charlotte,NC,SingleFamily,3,2,1950,7884,1960,2006,1,None,None,1,06/10/2016,450000,Asphalt,90
"3029 Clemson Ave",28205,Charlotte,NC,SingleFamily,4,3,2464,7840,1939,2015,2,None,None,0,10/11/2015,470000,Other,94
"3108 Airlie St",28205,Charlotte,NC,SingleFamily,3,2,1970,4704480,1953,1971,1,None,None,1,05/31/2016,335000,Asphalt,67
"3108 Libeth St",28205,Charlotte,NC,SingleFamily,3,2,1569,10890,1954,2016,1,None,None,1,04/28/2016,300000,Asphalt,60
"3123 Country Club Dr",28205,Charlotte,NC,SingleFamily,3,3,2271,17424,1948,2005,1,None,None,0,05/18/2015,440000,Asphalt,88
"3127 Barnhill Dr",28205,Charlotte,NC,SingleFamily,2,2,1453,9583,1951,2016,1,None,None,1,06/13/2016,298000,Asphalt,59
"3127 Dunaire Dr",28205,Charlotte,NC,SingleFamily,3,2,1484,8712,1958,2015,1,None,None,0,05/01/2015,145000,Asphalt,29
"3207 Cosby Pl",28205,Charlotte,NC,SingleFamily,2,2,926,12806,1947,1999,1,None,None,0,04/29/2014,77000,Asphalt,15
"3315 Erskine Dr",28205,Charlotte,NC,Miscellaneous,2,1,783,200,1965,2009,1,None,None,1,08/05/2016,31000,Asphalt,6
"3320 Spencer St",28205,Charlotte,NC,SingleFamily,3,3,2236,11761,2007,2007,1,None,None,1,12/28/2016,427000,"Shake / Shingle",85
"3415 Commonwealth Ave",28205,Charlotte,NC,SingleFamily,3,2,1738,13503,1938,2012,1,"Commonwealth Park",Charlotte-Mecklenburg,0,05/29/2015,277000,"Shake / Shingle",55
"3420 Hayes Ct",28205,Charlotte,NC,SingleFamily,3,2,1444,8712,1954,2016,1,None,None,1,08/09/2016,270000,Asphalt,54
"3451 Airlie St",28205,Charlotte,NC,SingleFamily,2,2,1790,8712,1952,2013,1,None,None,1,01/03/2017,340000,Metal,68
"3518 Commonwealth Ave",28205,Charlotte,NC,SingleFamily,4,3,2601,20909,1940,2017,2,None,None,0,07/26/1993,70000,Asphalt,14
"3529 Commonwealth Ave",28205,Charlotte,NC,SingleFamily,3,2,1325,12196,1939,2004,1,"Commonwealth Park",Mecklenburg,1,07/30/2016,318500,Asphalt,63
"3580 N Davidson St",28205,Charlotte,NC,Townhouse,2,3,1450,67692,2004,2015,3,"North Charlotte, NoDa Arts District","Charlotte Mecklenburg Schools",0,11/16/2007,191000,"Asphalt, Other",38
"3914 Admiral Ave",28205,Charlotte,NC,SingleFamily,2,1,900,14374,1948,1965,1,None,None,1,08/05/2016,130000,Other,26
"4006 Howie Cir",28205,Charlotte,NC,SingleFamily,2,1,1136,11282,1955,1985,1,None,None,1,04/29/2016,83000,Asphalt,16
"4029 Winfield Dr",28205,Charlotte,NC,SingleFamily,3,2,1518,15682,1957,1970,1,None,None,0,05/21/2015,110000,Composition,22
"4211 Winfield Dr",28205,Charlotte,NC,SingleFamily,3,1,1000,9147,1955,2015,1,None,None,0,07/17/2015,147000,"Shake / Shingle",29
"4401 Hancock Ter",28205,Charlotte,NC,SingleFamily,3,2,1361,13939,1968,2014,1,None,None,0,07/14/2014,130000,Asphalt,26
"4409 Ivanhoe Pl",28205,Charlotte,NC,SingleFamily,3,2,1375,10890,1967,2014,1,None,None,0,12/22/2014,50000,Asphalt,10
"4514 Holbrook Dr",28205,Charlotte,NC,SingleFamily,3,1,1019,12196,1957,1975,1,None,None,1,01/18/2017,143000,Asphalt,28
"4816 Crestmont Dr",28205,Charlotte,NC,SingleFamily,3,2,1250,9583,1967,2015,1,None,None,0,07/20/2015,149000,Other,29
"5221 Greenbrook Dr",28205,Charlotte,NC,SingleFamily,3,2,1170,11282,1961,2008,1,None,None,0,10/02/2014,128000,Asphalt,25
"632 Crater St",28205,Charlotte,NC,SingleFamily,3,2,1171,8276,1961,1965,1,None,None,0,04/14/2015,115000,"Asphalt, Other",23
"908 Parkwood Ave",28205,Charlotte,NC,SingleFamily,3,2,1098,5710,1928,1965,1,None,None,0,05/05/2014,119500,"Asphalt, Shake / Shingle",23
"922 Herrin Ave",28205,Charlotte,NC,SingleFamily,4,3,3049,10454,1961,2014,2,None,None,1,04/08/2016,505000,"Asphalt, Shake / Shingle",101
